datetime,value
2026-01-29 06:00,7.0
2026-01-29 07:00,7.0
2026-01-29 08:00,7.0
2026-01-29 09:00,7.0
2026-01-29 10:00,7.0
2026-01-29 11:00,7.0
2026-01-29 12:00,7.1
2026-01-29 13:00,7.2
2026-01-29 14:00,7.2
2026-01-29 15:00,7.3
2026-01-29 16:00,7.3
2026-01-29 17:00,7.3
2026-01-29 18:00,7.3
2026-01-29 19:00,7.3
2026-01-29 20:00,7.3
2026-01-29 21:00,7.3
2026-01-29 22:00,7.2
2026-01-29 23:00,7.2
2026-01-30 00:00,7.1
2026-01-30 01:00,7.1
2026-01-30 02:00,7.1
2026-01-30 03:00,7.1
2026-01-30 04:00,7.1
2026-01-30 05:00,7.1
2026-01-30 06:00,7.1
2026-01-30 07:00,7.1
2026-01-30 08:00,7.0
2026-01-30 09:00,7.0
2026-01-30 10:00,7.0
2026-01-30 11:00,7.1
2026-01-30 12:00,7.2
2026-01-30 13:00,7.4
2026-01-30 14:00,7.5
2026-01-30 15:00,7.6
2026-01-30 16:00,7.6
2026-01-30 17:00,7.6
2026-01-30 18:00,7.6
2026-01-30 19:00,7.5
